repository_language,day,count
Parrot,15415.0,15
Dylan,15415.0,6
D,15415.0,234
F#,15415.0,48
Bro,15415.0,18
Nemerle,15415.0,18
Tcl,15415.0,27
Powershell,15415.0,48
Elixir,15415.0,21
Pure Data,15415.0,15
Nimrod,15415.0,6
HaXe,15415.0,24
Rebol,15415.0,9
Io,15415.0,9
AutoHotkey,15415.0,30
SuperCollider,15415.0,33
ASP,15415.0,15
Boo,15415.0,33
Eiffel,15415.0,75
Opa,15415.0,6
Scilab,15415.0,36
Groovy,15415.0,444
Lua,15415.0,612
Erlang,15415.0,420
ActionScript,15415.0,558
Matlab,15415.0,252
VHDL,15415.0,54
Prolog,15415.0,81
Common Lisp,15415.0,162
Verilog,15415.0,54
Arduino,15415.0,87
ColdFusion,15415.0,81
Delphi,15415.0,189
FORTRAN,15415.0,87
CoffeeScript,15415.0,1005
Puppet,15415.0,312
Ada,15415.0,6
Assembly,15415.0,99
Racket,15415.0,87
Standard ML,15415.0,99
Scheme,15415.0,120
Visual Basic,15415.0,33
Go,15415.0,384
Scala,15415.0,1332
JavaScript,15415.0,24795
Shell,15415.0,3657
Haskell,15415.0,966
C++,15415.0,8991
C#,15415.0,3168
Python,15415.0,15024
C,15415.0,8478
VimL,15415.0,2325
Java,15415.0,19899
PHP,15415.0,13800
Perl,15415.0,1791
Ruby,15415.0,18990
Vala,15415.0,45
Objective-J,15415.0,69
Clojure,15415.0,639
XQuery,15415.0,3
R,15415.0,360
Rust,15415.0,108
OCaml,15415.0,354
Objective-C,15415.0,2556
Emacs Lisp,15415.0,894
Coq,15416.0,12
Nemerle,15416.0,15
Racket,15416.0,60
Objective-J,15416.0,27
Boo,15416.0,3
HaXe,15416.0,54
Scheme,15416.0,54
Scilab,15416.0,9
Puppet,15416.0,147
AutoHotkey,15416.0,33
Common Lisp,15416.0,189
Powershell,15416.0,12
Modelica,15416.0,117
XQuery,15416.0,6
Opa,15416.0,30
Gosu,15416.0,6
Pure Data,15416.0,3
Io,15416.0,6
Smalltalk,15416.0,3
Dylan,15416.0,6
Rebol,15416.0,6
ASP,15416.0,12
Elixir,15416.0,6
Matlab,15416.0,162
VimL,15416.0,1800
D,15416.0,204
Rust,15416.0,48
ActionScript,15416.0,192
Go,15416.0,306
Scala,15416.0,681
Shell,15416.0,3012
Ruby,15416.0,13428
ColdFusion,15416.0,42
Lua,15416.0,753
Delphi,15416.0,177
Perl,15416.0,1551
Java,15416.0,12042
PHP,15416.0,9021
Haskell,15416.0,771
C,15416.0,7164
C#,15416.0,2784
Objective-C,15416.0,1953
Python,15416.0,9450
JavaScript,15416.0,17445
C++,15416.0,7443
Emacs Lisp,15416.0,936
Standard ML,15416.0,12
Vala,15416.0,51
VHDL,15416.0,42
Tcl,15416.0,9
Nimrod,15416.0,9
Eiffel,15416.0,30
Erlang,15416.0,345
Visual Basic,15416.0,126
Prolog,15416.0,90
FORTRAN,15416.0,33
Groovy,15416.0,174
F#,15416.0,69
OCaml,15416.0,219
Assembly,15416.0,84
Clojure,15416.0,432
Factor,15416.0,3
Arduino,15416.0,201
SuperCollider,15416.0,72
R,15416.0,183
Verilog,15416.0,48
CoffeeScript,15416.0,543
Common Lisp,15417.0,198
Powershell,15417.0,51
Haskell,15417.0,831
Matlab,15417.0,339
Shell,15417.0,3213
Groovy,15417.0,243
Rust,15417.0,72
Perl,15417.0,1524
CoffeeScript,15417.0,567
Scala,15417.0,900
Clojure,15417.0,492
Puppet,15417.0,153
Lua,15417.0,822
Erlang,15417.0,324
ColdFusion,15417.0,15
OCaml,15417.0,171
Racket,15417.0,57
ActionScript,15417.0,336
Emacs Lisp,15417.0,1035
R,15417.0,183
Assembly,15417.0,105
C,15417.0,7197
VimL,15417.0,2103
C#,15417.0,3135
Python,15417.0,10185
Java,15417.0,13773
Objective-C,15417.0,2175
PHP,15417.0,10917
D,15417.0,231
JavaScript,15417.0,17973
Ruby,15417.0,15105
C++,15417.0,7638
Prolog,15417.0,69
F#,15417.0,63
Standard ML,15417.0,54
Factor,15417.0,6
ASP,15417.0,3
Eiffel,15417.0,12
Io,15417.0,6
Arc,15417.0,6
Elixir,15417.0,3
VHDL,15417.0,51
Vala,15417.0,45
HaXe,15417.0,63
Verilog,15417.0,105
Modelica,15417.0,111
Dylan,15417.0,3
Nimrod,15417.0,6
Opa,15417.0,3
Nemerle,15417.0,9
Go,15417.0,369
FORTRAN,15417.0,24
AutoHotkey,15417.0,36
Objective-J,15417.0,36
Coq,15417.0,27
Delphi,15417.0,96
Scheme,15417.0,123
Tcl,15417.0,15
Visual Basic,15417.0,45
XQuery,15417.0,9
SuperCollider,15417.0,15
Boo,15417.0,3
Ada,15417.0,45
Arduino,15417.0,60
Parrot,15418.0,3
Modelica,15418.0,9
VimL,15418.0,2631
Arduino,15418.0,96
Matlab,15418.0,366
Groovy,15418.0,390
Haskell,15418.0,840
XQuery,15418.0,6
HaXe,15418.0,84
Nemerle,15418.0,36
Coq,15418.0,18
ActionScript,15418.0,513
Delphi,15418.0,111
Scheme,15418.0,69
Ada,15418.0,42
SuperCollider,15418.0,24
Pure Data,15418.0,63
Erlang,15418.0,402
Tcl,15418.0,9
Vala,15418.0,48
Prolog,15418.0,102
Powershell,15418.0,222
AutoHotkey,15418.0,21
FORTRAN,15418.0,90
Common Lisp,15418.0,207
D,15418.0,213
Verilog,15418.0,93
Racket,15418.0,105
OpenEdge ABL,15418.0,6
VHDL,15418.0,54
Eiffel,15418.0,42
Go,15418.0,384
JavaScript,15418.0,27297
Java,15418.0,21765
OCaml,15418.0,336
C++,15418.0,9552
Shell,15418.0,4896
PHP,15418.0,15843
C,15418.0,9018
CoffeeScript,15418.0,891
Python,15418.0,16290
R,15418.0,468
Ruby,15418.0,18984
C#,15418.0,3609
Clojure,15418.0,549
Nimrod,15418.0,9
Perl,15418.0,2076
Scilab,15418.0,12
Assembly,15418.0,93
Scala,15418.0,1062
Emacs Lisp,15418.0,1056
Lua,15418.0,750
F#,15418.0,66
Visual Basic,15418.0,48
Puppet,15418.0,279
Objective-J,15418.0,24
Rust,15418.0,120
Objective-C,15418.0,2865
Elixir,15418.0,45
Standard ML,15418.0,51
Io,15418.0,3
Arc,15418.0,3
Ioke,15418.0,6
ASP,15418.0,27
ColdFusion,15418.0,51
Factor,15418.0,3
Emacs Lisp,15419.0,1080
Clojure,15419.0,723
CoffeeScript,15419.0,702
Scheme,15419.0,177
Puppet,15419.0,450
C,15419.0,9303
Haskell,15419.0,969
Python,15419.0,17211
Erlang,15419.0,396
Verilog,15419.0,144
Racket,15419.0,57
OCaml,15419.0,258
Go,15419.0,381
Factor,15419.0,3
Delphi,15419.0,126
Coq,15419.0,36
R,15419.0,519
Matlab,15419.0,423
Lua,15419.0,447
Scala,15419.0,1281
Groovy,15419.0,399
Powershell,15419.0,423
Shell,15419.0,4398
Objective-C,15419.0,3144
Common Lisp,15419.0,234
C#,15419.0,3867
Perl,15419.0,2118
ActionScript,15419.0,618
Ruby,15419.0,19872
Java,15419.0,22533
VimL,15419.0,2781
JavaScript,15419.0,28674
AutoHotkey,15419.0,30
Rebol,15419.0,12
Tcl,15419.0,39
Elixir,15419.0,21
Arc,15419.0,9
Boo,15419.0,6
Bro,15419.0,3
Nemerle,15419.0,21
VHDL,15419.0,75
Ioke,15419.0,3
Prolog,15419.0,78
C++,15419.0,9876
PHP,15419.0,15360
ColdFusion,15419.0,93
Scilab,15419.0,39
HaXe,15419.0,33
Standard ML,15419.0,33
SuperCollider,15419.0,39
Ada,15419.0,9
D,15419.0,216
Assembly,15419.0,141
Rust,15419.0,84
XQuery,15419.0,12
Objective-J,15419.0,84
F#,15419.0,57
Vala,15419.0,15
Pure Data,15419.0,72
Arduino,15419.0,45
Visual Basic,15419.0,57
ASP,15419.0,9
Eiffel,15419.0,57
OpenEdge ABL,15419.0,18
Smalltalk,15419.0,9
Io,15419.0,24
FORTRAN,15419.0,105
C++,15420.0,14202
Max/MSP,15420.0,6
F#,15420.0,114
JavaScript,15420.0,39393
Fancy,15420.0,6
Turing,15420.0,6
Bro,15420.0,6
Ioke,15420.0,3
FORTRAN,15420.0,111
Assembly,15420.0,123
Go,15420.0,384
Vala,15420.0,51
Visual Basic,15420.0,111
Puppet,15420.0,741
Ada,15420.0,9
ASP,15420.0,75
Rust,15420.0,231
OCaml,15420.0,498
XQuery,15420.0,36
Eiffel,15420.0,93
Matlab,15420.0,561
Scilab,15420.0,36
Coq,15420.0,36
Scheme,15420.0,102
HaXe,15420.0,168
VHDL,15420.0,132
Gosu,15420.0,9
Clojure,15420.0,870
Prolog,15420.0,159
ActionScript,15420.0,753
D,15420.0,273
Delphi,15420.0,258
Io,15420.0,9
Pure Data,15420.0,27
OpenEdge ABL,15420.0,60
Boo,15420.0,3
Nimrod,15420.0,9
Rebol,15420.0,9
Elixir,15420.0,9
Parrot,15420.0,3
Arduino,15420.0,120
Lua,15420.0,1035
Arc,15420.0,3
Perl,15420.0,3144
Java,15420.0,31803
Ruby,15420.0,27345
C#,15420.0,4974
PHP,15420.0,20391
Python,15420.0,24900
C,15420.0,13806
VimL,15420.0,3624
CoffeeScript,15420.0,1287
Scala,15420.0,1485
Emacs Lisp,15420.0,1248
Common Lisp,15420.0,273
Shell,15420.0,6924
Erlang,15420.0,750
Haskell,15420.0,1410
Standard ML,15420.0,57
AutoHotkey,15420.0,39
Verilog,15420.0,147
Objective-J,15420.0,87
SuperCollider,15420.0,54
Objective-C,15420.0,4137
Powershell,15420.0,111
Racket,15420.0,69
Nemerle,15420.0,39
Tcl,15420.0,39
ColdFusion,15420.0,180
Dylan,15420.0,51
Groovy,15420.0,561
R,15420.0,810
F#,15421.0,72
Rust,15421.0,90
Boo,15421.0,6
Scilab,15421.0,21
FORTRAN,15421.0,45
Emacs Lisp,15421.0,1239
AutoHotkey,15421.0,24
Shell,15421.0,5430
Coq,15421.0,18
Scala,15421.0,1353
HaXe,15421.0,57
Objective-C,15421.0,3312
Ruby,15421.0,21852
C++,15421.0,10659
C,15421.0,10830
Python,15421.0,19203
Java,15421.0,23928
PHP,15421.0,16701
C#,15421.0,4131
Elixir,15421.0,9
SuperCollider,15421.0,9
Perl,15421.0,2349
Max/MSP,15421.0,6
Nemerle,15421.0,36
Factor,15421.0,3
Arduino,15421.0,75
Ada,15421.0,9
Parrot,15421.0,3
Vala,15421.0,36
Smalltalk,15421.0,12
OpenEdge ABL,15421.0,39
Visual Basic,15421.0,51
Racket,15421.0,75
Nimrod,15421.0,18
D,15421.0,171
ColdFusion,15421.0,90
R,15421.0,438
Powershell,15421.0,63
Verilog,15421.0,228
Tcl,15421.0,105
Matlab,15421.0,399
Assembly,15421.0,120
Delphi,15421.0,252
Objective-J,15421.0,99
VHDL,15421.0,57
ActionScript,15421.0,672
ASP,15421.0,105
Go,15421.0,444
Lua,15421.0,828
Eiffel,15421.0,84
Standard ML,15421.0,66
OCaml,15421.0,327
CoffeeScript,15421.0,915
Puppet,15421.0,402
Common Lisp,15421.0,210
Prolog,15421.0,255
Groovy,15421.0,516
Haskell,15421.0,948
Clojure,15421.0,747
Erlang,15421.0,708
Turing,15421.0,3
Gosu,15421.0,3
VimL,15421.0,2655
Scheme,15421.0,144
JavaScript,15421.0,33447
F#,15422.0,84
Elixir,15422.0,18
Go,15422.0,267
Rust,15422.0,144
Eiffel,15422.0,69
Vala,15422.0,78
FORTRAN,15422.0,84
Common Lisp,15422.0,186
Prolog,15422.0,63
Haskell,15422.0,837
R,15422.0,459
Delphi,15422.0,195
Puppet,15422.0,363
Ada,15422.0,18
JavaScript,15422.0,28269
PHP,15422.0,15117
Java,15422.0,20442
C,15422.0,9486
Ruby,15422.0,18882
Perl,15422.0,2484
Boo,15422.0,6
Gosu,15422.0,3
Powershell,15422.0,27
AutoHotkey,15422.0,18
Rebol,15422.0,18
C++,15422.0,8823
Assembly,15422.0,69
Turing,15422.0,6
Scilab,15422.0,6
Scheme,15422.0,108
Standard ML,15422.0,33
Nemerle,15422.0,3
Tcl,15422.0,51
Arduino,15422.0,84
Visual Basic,15422.0,24
Verilog,15422.0,54
Racket,15422.0,69
Matlab,15422.0,309
VHDL,15422.0,114
ASP,15422.0,57
Erlang,15422.0,462
OCaml,15422.0,270
Emacs Lisp,15422.0,963
HaXe,15422.0,69
D,15422.0,210
Groovy,15422.0,375
Lua,15422.0,528
ColdFusion,15422.0,120
Coq,15422.0,39
C#,15422.0,3237
Scala,15422.0,1299
Objective-J,15422.0,81
CoffeeScript,15422.0,654
Clojure,15422.0,579
Shell,15422.0,4836
ActionScript,15422.0,468
Objective-C,15422.0,2985
VimL,15422.0,2379
Python,15422.0,15093
XQuery,15422.0,6
Fantom,15422.0,3
SuperCollider,15422.0,6
OpenEdge ABL,15422.0,27
Nimrod,15422.0,9
Pure Data,15422.0,3
Smalltalk,15422.0,3
Io,15422.0,9
Erlang,15423.0,165
XQuery,15423.0,12
Arduino,15423.0,57
Groovy,15423.0,240
Io,15423.0,30
Coq,15423.0,18
Go,15423.0,393
Scheme,15423.0,90
Visual Basic,15423.0,36
Factor,15423.0,6
Rust,15423.0,189
VHDL,15423.0,141
Verilog,15423.0,39
Racket,15423.0,57
Elixir,15423.0,30
Clojure,15423.0,465
ASP,15423.0,30
Arc,15423.0,3
Fancy,15423.0,6
Prolog,15423.0,33
Pure Data,15423.0,21
Ada,15423.0,21
Smalltalk,15423.0,9
Standard ML,15423.0,54
HaXe,15423.0,48
F#,15423.0,126
Scilab,15423.0,24
Turing,15423.0,9
Fantom,15423.0,15
Eiffel,15423.0,12
Objective-J,15423.0,18
Vala,15423.0,33
Gosu,15423.0,3
Rebol,15423.0,3
Boo,15423.0,3
Nemerle,15423.0,9
FORTRAN,15423.0,9
OpenEdge ABL,15423.0,9
AutoHotkey,15423.0,33
Puppet,15423.0,168
Emacs Lisp,15423.0,810
ColdFusion,15423.0,36
Lua,15423.0,477
Common Lisp,15423.0,99
Shell,15423.0,3417
C#,15423.0,2403
R,15423.0,225
C,15423.0,8109
Tcl,15423.0,18
SuperCollider,15423.0,3
C++,15423.0,7326
JavaScript,15423.0,19431
Objective-C,15423.0,1935
Python,15423.0,10758
PHP,15423.0,10020
Ruby,15423.0,14028
Java,15423.0,12333
VimL,15423.0,2040
D,15423.0,210
CoffeeScript,15423.0,627
Powershell,15423.0,60
Delphi,15423.0,150
OCaml,15423.0,90
Matlab,15423.0,204
Perl,15423.0,1440
Scala,15423.0,930
ActionScript,15423.0,543
Haskell,15423.0,774
Ioke,15423.0,135
Assembly,15423.0,87
Pure Data,15424.0,6
Objective-C,15424.0,2070
AutoHotkey,15424.0,18
Eiffel,15424.0,6
Powershell,15424.0,6
Ioke,15424.0,6
Prolog,15424.0,81
Java,15424.0,13992
JavaScript,15424.0,21786
Turing,15424.0,6
Python,15424.0,10572
Ruby,15424.0,14409
C++,15424.0,7698
Io,15424.0,6
Rust,15424.0,96
Tcl,15424.0,63
ColdFusion,15424.0,12
Arc,15424.0,3
Objective-J,15424.0,33
Groovy,15424.0,279
OCaml,15424.0,99
Matlab,15424.0,177
Nemerle,15424.0,12
Visual Basic,15424.0,45
HaXe,15424.0,57
SuperCollider,15424.0,12
ASP,15424.0,21
F#,15424.0,63
Boo,15424.0,3
Vala,15424.0,9
XQuery,15424.0,33
Smalltalk,15424.0,12
Scilab,15424.0,39
Coq,15424.0,12
OpenEdge ABL,15424.0,12
Parrot,15424.0,3
Factor,15424.0,6
Arduino,15424.0,99
Racket,15424.0,81
Assembly,15424.0,123
R,15424.0,192
Elixir,15424.0,42
Ada,15424.0,81
Puppet,15424.0,192
VHDL,15424.0,147
PHP,15424.0,10428
Scheme,15424.0,153
FORTRAN,15424.0,21
ActionScript,15424.0,519
Delphi,15424.0,153
Erlang,15424.0,366
Verilog,15424.0,108
Haskell,15424.0,1107
Go,15424.0,405
Shell,15424.0,3810
C,15424.0,8256
Standard ML,15424.0,75
Perl,15424.0,1542
