repository_language,day,count
AutoHotkey,15415.0,108
Io,15415.0,12
Nimrod,15415.0,9
Nemerle,15415.0,30
Elixir,15415.0,51
Pure Data,15415.0,24
Eiffel,15415.0,87
Bro,15415.0,21
SuperCollider,15415.0,93
Tcl,15415.0,27
Java,15415.0,33897
Scheme,15415.0,147
HaXe,15415.0,45
F#,15415.0,105
Smalltalk,15415.0,6
Coq,15415.0,30
Arc,15415.0,3
Standard ML,15415.0,111
Racket,15415.0,108
ooc,15415.0,3
C,15415.0,13818
JavaScript,15415.0,50748
Shell,15415.0,5580
Haskell,15415.0,1395
C++,15415.0,14583
C#,15415.0,6162
Python,15415.0,26988
Ruby,15415.0,38622
PHP,15415.0,25884
Python,15416.0,17061
ASP,15416.0,12
Rebol,15416.0,27
XQuery,15416.0,12
Powershell,15416.0,30
Smalltalk,15416.0,6
Io,15416.0,6
Pure Data,15416.0,3
Gosu,15416.0,9
Turing,15416.0,3
Opa,15416.0,36
ActionScript,15416.0,357
Assembly,15416.0,153
Factor,15416.0,3
Arduino,15416.0,237
SuperCollider,15416.0,81
R,15416.0,228
Verilog,15416.0,57
Clojure,15416.0,1152
Delphi,15416.0,207
AutoHotkey,15416.0,63
VimL,15416.0,2589
D,15416.0,408
Rust,15416.0,129
OCaml,15416.0,294
CoffeeScript,15416.0,1149
Go,15416.0,489
Scala,15416.0,1437
ColdFusion,15416.0,60
Lua,15416.0,1062
Matlab,15416.0,237
Perl,15416.0,2466
Emacs Lisp,15416.0,1542
Ruby,15416.0,27192
Haskell,15416.0,1197
C,15416.0,11613
VHDL,15416.0,45
HaXe,15416.0,78
Boo,15416.0,6
Dylan,15416.0,12
Objective-J,15416.0,96
Coq,15416.0,12
Nemerle,15416.0,24
Racket,15416.0,63
Scheme,15416.0,84
Scilab,15416.0,9
Puppet,15416.0,177
Standard ML,15416.0,15
Vala,15416.0,66
Modelica,15416.0,120
Elixir,15416.0,45
Tcl,15416.0,27
Nimrod,15416.0,18
Eiffel,15416.0,30
Erlang,15416.0,483
Visual Basic,15416.0,147
Prolog,15416.0,93
FORTRAN,15416.0,42
Common Lisp,15416.0,333
Groovy,15416.0,351
F#,15416.0,138
C++,15416.0,11460
JavaScript,15416.0,34266
Java,15416.0,20697
PHP,15416.0,16353
Objective-C,15416.0,4818
C#,15416.0,4686
Shell,15416.0,4470
Objective-J,15417.0,60
ASP,15417.0,3
Tcl,15417.0,36
VHDL,15417.0,54
Coq,15417.0,27
Arduino,15417.0,84
HaXe,15417.0,138
Standard ML,15417.0,60
Verilog,15417.0,153
Delphi,15417.0,111
Pure Data,15417.0,6
Assembly,15417.0,144
Groovy,15417.0,564
Racket,15417.0,66
ColdFusion,15417.0,66
Io,15417.0,12
Factor,15417.0,9
AutoHotkey,15417.0,60
Visual Basic,15417.0,69
Common Lisp,15417.0,288
Vala,15417.0,54
Eiffel,15417.0,12
XQuery,15417.0,9
Scilab,15417.0,3
Modelica,15417.0,111
C++,15417.0,11916
Arc,15417.0,6
Elixir,15417.0,9
Nimrod,15417.0,6
Opa,15417.0,6
Java,15417.0,22899
R,15417.0,282
Emacs Lisp,15417.0,1581
Rust,15417.0,105
D,15417.0,489
C,15417.0,12594
CoffeeScript,15417.0,1560
Scala,15417.0,1545
Python,15417.0,19686
Objective-C,15417.0,5238
C#,15417.0,5376
Shell,15417.0,4794
JavaScript,15417.0,36822
Ruby,15417.0,28782
PHP,15417.0,19077
Perl,15417.0,6924
VimL,15417.0,3180
Clojure,15417.0,1113
Haskell,15417.0,1296
Powershell,15417.0,81
Matlab,15417.0,402
SuperCollider,15417.0,27
Puppet,15417.0,219
Ada,15417.0,45
Erlang,15417.0,639
Scheme,15417.0,162
Lua,15417.0,1113
Prolog,15417.0,78
ActionScript,15417.0,603
Mirah,15417.0,3
Dylan,15417.0,3
Boo,15417.0,3
Nemerle,15417.0,9
FORTRAN,15417.0,39
Go,15417.0,675
F#,15417.0,138
OCaml,15417.0,225
Erlang,15418.0,801
Groovy,15418.0,609
D,15418.0,384
Objective-J,15418.0,99
ActionScript,15418.0,837
FORTRAN,15418.0,156
Haskell,15418.0,1269
XQuery,15418.0,6
Scilab,15418.0,12
Puppet,15418.0,474
Visual Basic,15418.0,69
F#,15418.0,129
Elixir,15418.0,84
Matlab,15418.0,438
Emacs Lisp,15418.0,1533
Scala,15418.0,2181
Assembly,15418.0,129
ColdFusion,15418.0,114
Common Lisp,15418.0,288
Standard ML,15418.0,69
HaXe,15418.0,156
Tcl,15418.0,15
Vala,15418.0,78
Prolog,15418.0,123
Powershell,15418.0,225
AutoHotkey,15418.0,48
Arduino,15418.0,141
Delphi,15418.0,156
Verilog,15418.0,144
Racket,15418.0,108
OpenEdge ABL,15418.0,9
VHDL,15418.0,57
Eiffel,15418.0,75
OCaml,15418.0,474
Scheme,15418.0,114
Java,15418.0,36495
ASP,15418.0,45
Ioke,15418.0,6
Nu,15418.0,3
Go,15418.0,690
PHP,15418.0,28230
C++,15418.0,15411
VimL,15418.0,3756
Ruby,15418.0,39861
Perl,15418.0,3528
Rust,15418.0,276
Objective-C,15418.0,7557
JavaScript,15418.0,57597
Opa,15418.0,6
Factor,15418.0,6
Arc,15418.0,12
Io,15418.0,3
Nimrod,15418.0,9
Clojure,15418.0,1338
Lua,15418.0,1110
C#,15418.0,7113
Pure Data,15418.0,66
SuperCollider,15418.0,27
Ada,15418.0,42
Rebol,15418.0,78
R,15418.0,750
CoffeeScript,15418.0,2058
Python,15418.0,30336
C,15418.0,16494
Shell,15418.0,7326
Coq,15418.0,21
Nemerle,15418.0,81
Modelica,15418.0,15
Parrot,15418.0,12
Python,15419.0,31908
Emacs Lisp,15419.0,1626
Ruby,15419.0,40452
VimL,15419.0,3972
ooc,15419.0,3
JavaScript,15419.0,60147
C,15419.0,17217
C++,15419.0,15819
PHP,15419.0,28890
Bro,15419.0,3
Standard ML,15419.0,54
XQuery,15419.0,18
Rust,15419.0,213
Objective-J,15419.0,126
F#,15419.0,159
Vala,15419.0,39
Pure Data,15419.0,114
Rebol,15419.0,30
VHDL,15419.0,90
Ada,15419.0,12
Visual Basic,15419.0,129
HaXe,15419.0,75
ASP,15419.0,18
Eiffel,15419.0,63
OpenEdge ABL,15419.0,21
Java,15419.0,38370
